"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3593.395,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4087.849,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4562.73,"B"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4777.388,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",5037.334,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",5075.384,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5193.845,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",5130.234,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2020",5627.315,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2010",4258.99,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2011",4345.158,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2012",4588.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2013",4767.083,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",4858.332,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",4943.516,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5195.532,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5315.355,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5518.538,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5624.014,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2020",5882.745,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2021",6693.307,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2010",3908.473,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2011",4053.883,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2012",4233.076,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2013",4430.729,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2014",4580.064,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2015",4807.4,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4998.998,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",5121.186,
